,method_call,delay
0,11815000.0,0.0
1,11787200.0,0.0
2,11667100.0,0.0
3,11376700.0,0.0
4,11368200.0,0.0
5,11668400.0,0.0
6,11154500.0,0.0
7,11219200.0,0.0
8,11033500.0,0.0
9,11004200.0,0.0
10,11091300.0,0.0
11,11557200.0,0.0
12,12054200.0,0.0
13,11060800.0,0.0
14,11188100.0,0.0
15,11287700.0,0.0
16,11345800.0,0.0
17,11309300.0,0.0
18,11179100.0,0.0
19,10881300.0,0.0
20,11614600.0,0.0
21,11581800.0,0.0
22,11236500.0,0.0
23,11475000.0,0.0
24,11206300.0,0.0
25,11491300.0,0.0
26,11554200.0,0.0
27,10952400.0,0.0
28,11121400.0,0.0
29,11835900.0,0.0
30,13578400.0,0.0
31,13980200.0,0.0
32,12951600.0,0.0
33,11133700.0,0.0
34,11445500.0,0.0
35,11144700.0,0.0
36,11138400.0,0.0
37,11652300.0,0.0
38,11143100.0,0.0
39,10832500.0,0.0
40,11736100.0,0.0
41,11577100.0,0.0
42,11365600.0,0.0
43,11373900.0,0.0
44,11111000.0,0.0
45,11553500.0,0.0
46,11346000.0,0.0
47,10979700.0,0.0
48,10907600.0,0.0
49,11194400.0,0.0
50,10883200.0,0.0
51,10990300.0,0.0
52,11331400.0,0.0
53,11064600.0,0.0
54,11023500.0,0.0
55,11438100.0,0.0
56,11303500.0,0.0
57,11281400.0,0.0
58,11085700.0,0.0
59,11336800.0,0.0
60,10967300.0,0.0
61,11153200.0,0.0
62,11194400.0,0.0
63,11119100.0,0.0
64,11453200.0,0.0
65,10909300.0,0.0
66,11283900.0,0.0
67,11131000.0,0.0
68,10884000.0,0.0
69,10906000.0,0.0
70,11202500.0,0.0
71,10782300.0,0.0
72,11133400.0,0.0
73,11502600.0,0.0
74,11660400.0,0.0
75,11762300.0,0.0
76,11511600.0,0.0
77,11459900.0,0.0
78,11140200.0,0.0
79,11173900.0,0.0
80,11531300.0,0.0
81,11444800.0,0.0
82,11348700.0,0.0
83,11510200.0,0.0
84,11514000.0,0.0
85,11046500.0,0.0
86,11228100.0,0.0
87,11199000.0,0.0
88,11018700.0,0.0
89,11133800.0,0.0
90,11176200.0,0.0
91,11129600.0,0.0
92,11183700.0,0.0
93,11523000.0,0.0
94,11570800.0,0.0
95,11193500.0,0.0
96,11416900.0,0.0
97,10841900.0,0.0
98,11812000.0,0.0
99,11164200.0,0.0
100,11254800.0,0.0
101,11351900.0,0.0
102,11451800.0,0.0
103,11438400.0,0.0
104,11493500.0,0.0
105,11471200.0,0.0
106,11570400.0,0.0
107,11667000.0,0.0
108,11316900.0,0.0
109,11145700.0,0.0
110,11111500.0,0.0
111,11088000.0,0.0
112,11292700.0,0.0
113,11242100.0,0.0
114,11254400.0,0.0
115,11134300.0,0.0
116,11187100.0,0.0
117,11758500.0,0.0
118,11126900.0,0.0
119,12240800.0,0.0
120,11815500.0,0.0
121,12426800.0,0.0
122,11571500.0,0.0
123,11223600.0,0.0
124,11345900.0,0.0
125,11070500.0,0.0
126,11341700.0,0.0
127,11299200.0,0.0
128,13020000.0,0.0
129,12421900.0,0.0
130,11508100.0,0.0
131,11711300.0,0.0
132,11261900.0,0.0
133,11846900.0,0.0
134,11391800.0,0.0
135,11100600.0,0.0
136,11100600.0,0.0
137,11209600.0,0.0
138,11005800.0,0.0
139,11114900.0,0.0
140,11291700.0,0.0
141,11038800.0,0.0
142,11088400.0,0.0
143,11243300.0,0.0
144,11086200.0,0.0
145,11300900.0,0.0
146,11253100.0,0.0
147,11300400.0,0.0
148,11066200.0,0.0
149,11189800.0,0.0
150,11117600.0,0.0
151,11181000.0,0.0
152,11575600.0,0.0
153,11089400.0,0.0
154,11048000.0,0.0
155,11216300.0,0.0
156,10964600.0,0.0
157,11292300.0,0.0
158,11103100.0,0.0
159,11202100.0,0.0
160,10826100.0,0.0
161,11615500.0,0.0
162,11206200.0,0.0
163,11213800.0,0.0
164,11573500.0,0.0
165,11413600.0,0.0
166,11164300.0,0.0
167,11381600.0,0.0
168,11289700.0,0.0
169,11396300.0,0.0
170,11371800.0,0.0
171,11739400.0,0.0
172,11219500.0,0.0
173,11083600.0,0.0
174,11243600.0,0.0
175,11171400.0,0.0
176,11414600.0,0.0
177,11506300.0,0.0
178,11554200.0,0.0
179,11100800.0,0.0
180,10975100.0,0.0
181,11215400.0,0.0
182,11195500.0,0.0
183,11208000.0,0.0
184,11239300.0,0.0
185,10998600.0,0.0
186,11256000.0,0.0
187,11012900.0,0.0
188,11277200.0,0.0
189,11575500.0,0.0
190,11544400.0,0.0
191,11160500.0,0.0
192,11741100.0,0.0
193,11553800.0,0.0
194,11231200.0,0.0
195,11326800.0,0.0
196,11234600.0,0.0
197,11085600.0,0.0
198,11548300.0,0.0
199,11282100.0,0.0
200,11328800.0,0.0
201,11514800.0,0.0
202,11733000.0,0.0
203,11076300.0,0.0
204,11929800.0,0.0
205,11387700.0,0.0
206,11103200.0,0.0
207,11262400.0,0.0
208,11388900.0,0.0
209,11388400.0,0.0
210,11128600.0,0.0
211,11180800.0,0.0
212,11638500.0,0.0
213,11262700.0,0.0
214,11146900.0,0.0
215,11376100.0,0.0
216,11489300.0,0.0
217,11371000.0,0.0
218,11329500.0,0.0
219,11282900.0,0.0
220,11034400.0,0.0
221,11252400.0,0.0
222,11328200.0,0.0
223,11253100.0,0.0
224,11455600.0,0.0
225,11190700.0,0.0
226,11444400.0,0.0
227,11550100.0,0.0
228,11869300.0,0.0
229,11204300.0,0.0
230,11148300.0,0.0
231,11355200.0,0.0
232,11079900.0,0.0
233,11155000.0,0.0
234,11536600.0,0.0
235,11177600.0,0.0
236,11128100.0,0.0
237,11497000.0,0.0
238,11276300.0,0.0
239,11417400.0,0.0
240,11336500.0,0.0
241,11135800.0,0.0
242,10991900.0,0.0
243,11362100.0,0.0
244,11288100.0,0.0
245,11438000.0,0.0
246,11358700.0,0.0
247,11196600.0,0.0
248,11238200.0,0.0
249,11056000.0,0.0
250,11246000.0,0.0
251,11246200.0,0.0
252,11389600.0,0.0
253,11176000.0,0.0
254,11023500.0,0.0
255,11293100.0,0.0
256,11334600.0,0.0
257,11280700.0,0.0
258,11424300.0,0.0
259,11621100.0,0.0
260,10975800.0,0.0
261,11406400.0,0.0
262,11011100.0,0.0
263,11269800.0,0.0
264,11366800.0,0.0
265,11331000.0,0.0
266,11624900.0,0.0
267,11340600.0,0.0
268,11285200.0,0.0
269,11083900.0,0.0
270,11390800.0,0.0
271,11676600.0,0.0
272,11004800.0,0.0
273,11155500.0,0.0
274,11364500.0,0.0
275,11261900.0,0.0
276,11375400.0,0.0
277,12103500.0,0.0
278,11590600.0,0.0
279,11724700.0,0.0
280,11145100.0,0.0
281,11190600.0,0.0
282,11175900.0,0.0
283,11677800.0,0.0
284,11247600.0,0.0
285,12136500.0,0.0
286,11470200.0,0.0
287,11377700.0,0.0
288,11250700.0,0.0
289,11189900.0,0.0
290,11370600.0,0.0
291,11347900.0,0.0
292,11477000.0,0.0
293,11210500.0,0.0
294,12836800.0,0.0
295,13837800.0,0.0
296,14019600.0,0.0
297,12346100.0,0.0
298,11663600.0,0.0
299,11354600.0,0.0
300,11191600.0,0.0
301,11426800.0,0.0
302,11393400.0,0.0
303,11523900.0,0.0
