,write_value,delay
0,6814700.0,0.0
1,6012000.0,0.0
2,5918100.0,0.0
3,5871500.0,0.0
4,5897200.0,0.0
5,5753800.0,0.0
6,5996600.0,0.0
7,5461000.0,0.0
8,5951100.0,0.0
9,5707700.0,0.0
10,5889100.0,0.0
11,5906800.0,0.0
12,5631400.0,0.0
13,5892400.0,0.0
14,5895000.0,0.0
15,5810400.0,0.0
16,5604200.0,0.0
17,5739300.0,0.0
18,5814100.0,0.0
19,5447500.0,0.0
20,5706600.0,0.0
21,5595300.0,0.0
22,5515700.0,0.0
23,5693200.0,0.0
24,5766000.0,0.0
25,5647200.0,0.0
26,5702300.0,0.0
27,5641700.0,0.0
28,5588300.0,0.0
29,5632100.0,0.0
30,5319900.0,0.0
31,5723600.0,0.0
32,5545600.0,0.0
33,5632700.0,0.0
34,5907500.0,0.0
35,5737900.0,0.0
36,5679600.0,0.0
37,5868500.0,0.0
38,5500800.0,0.0
39,5547400.0,0.0
40,6086500.0,0.0
41,5722000.0,0.0
42,6014100.0,0.0
43,5976000.0,0.0
44,5627200.0,0.0
45,5659900.0,0.0
46,5563100.0,0.0
47,5464500.0,0.0
48,5724000.0,0.0
49,5663900.0,0.0
50,5817900.0,0.0
51,5543700.0,0.0
52,5789000.0,0.0
53,5909500.0,0.0
54,5616400.0,0.0
55,5582700.0,0.0
56,5803100.0,0.0
57,5711800.0,0.0
58,5745700.0,0.0
59,5870500.0,0.0
60,5791800.0,0.0
61,5689500.0,0.0
62,5463800.0,0.0
63,5634800.0,0.0
64,5732700.0,0.0
65,5649800.0,0.0
66,5834600.0,0.0
67,5733500.0,0.0
68,5706300.0,0.0
69,6040300.0,0.0
70,5645700.0,0.0
71,5906500.0,0.0
72,5830300.0,0.0
73,5693900.0,0.0
74,5779200.0,0.0
75,5741500.0,0.0
76,6030900.0,0.0
77,7363900.0,0.0
78,5381400.0,0.0
79,6131200.0,0.0
80,5447900.0,0.0
81,5452600.0,0.0
82,7153400.0,0.0
83,6174000.0,0.0
84,5890900.0,0.0
85,6232000.0,0.0
86,7052400.0,0.0
87,5885000.0,0.0
88,5492000.0,0.0
89,5666500.0,0.0
90,6902600.0,0.0
91,5649600.0,0.0
92,5781800.0,0.0
93,5444900.0,0.0
94,5721200.0,0.0
95,5811000.0,0.0
96,5583300.0,0.0
97,5749200.0,0.0
98,5718200.0,0.0
99,8985700.0,0.0
100,5668400.0,0.0
101,5527400.0,0.0
102,6671700.0,0.0
103,5717200.0,0.0
104,5845100.0,0.0
105,5747000.0,0.0
106,5153800.0,0.0
107,5779500.0,0.0
108,5692800.0,0.0
109,5639300.0,0.0
110,6067100.0,0.0
111,6726900.0,0.0
112,5619200.0,0.0
113,5549500.0,0.0
114,5829800.0,0.0
115,5855400.0,0.0
116,5716000.0,0.0
117,7063700.0,0.0
118,5551700.0,0.0
119,6564200.0,0.0
120,5435300.0,0.0
121,6382400.0,0.0
122,5622000.0,0.0
123,5434700.0,0.0
124,6467700.0,0.0
125,6802500.0,0.0
126,5964500.0,0.0
127,5466600.0,0.0
128,5472200.0,0.0
129,5416500.0,0.0
130,5847200.0,0.0
131,5827500.0,0.0
132,8263700.0,0.0
133,5723500.0,0.0
134,6095300.0,0.0
135,5640400.0,0.0
136,5454600.0,0.0
137,5282700.0,0.0
138,7705900.0,0.0
139,6421600.0,0.0
140,5235200.0,0.0
141,5610500.0,0.0
142,5486000.0,0.0
143,5374400.0,0.0
144,5885500.0,0.0
145,5334300.0,0.0
146,5251100.0,0.0
147,5554200.0,0.0
148,5815700.0,0.0
149,5590000.0,0.0
150,5881600.0,0.0
151,5755200.0,0.0
152,7162300.0,0.0
153,7304200.0,0.0
154,5689000.0,0.0
155,5391700.0,0.0
156,7104000.0,0.0
157,8871400.0,0.0
158,5515400.0,0.0
159,5296300.0,0.0
160,5535400.0,0.0
161,5553400.0,0.0
162,5166100.0,0.0
163,5466500.0,0.0
164,5598500.0,0.0
165,5132400.0,0.0
166,5961100.0,0.0
167,5443200.0,0.0
