,datachange_notifications,period,queuesize,change_int
0,12067200,10.0,1.0,1.0
1,12383800,10.0,1.0,1.0
2,12339300,10.0,1.0,1.0
3,11958800,10.0,1.0,1.0
4,15234300,10.0,1.0,1.0
5,13699100,10.0,1.0,1.0
6,13045900,10.0,1.0,1.0
7,12768400,10.0,1.0,1.0
8,19427600,10.0,1.0,1.0
9,15277400,10.0,1.0,1.0
10,10518300,10.0,1.0,1.0
11,11754300,10.0,1.0,1.0
12,12299500,10.0,1.0,1.0
13,11932400,10.0,1.0,1.0
14,13791900,10.0,1.0,1.0
15,11327700,10.0,1.0,1.0
16,11568500,10.0,1.0,1.0
17,12076200,10.0,1.0,1.0
18,22941700,10.0,1.0,1.0
19,12660200,10.0,1.0,1.0
20,11407900,10.0,1.0,1.0
21,12149700,10.0,1.0,1.0
22,11974500,10.0,1.0,1.0
23,10333300,10.0,1.0,1.0
24,13167100,10.0,1.0,1.0
25,12497600,10.0,1.0,1.0
26,12989200,10.0,1.0,1.0
27,10828500,10.0,1.0,1.0
28,11193600,10.0,1.0,1.0
29,10254500,10.0,1.0,1.0
30,10423400,10.0,1.0,1.0
31,11302200,10.0,1.0,1.0
32,10401000,10.0,1.0,1.0
33,13345700,10.0,1.0,1.0
34,13795200,10.0,1.0,1.0
35,10773400,10.0,1.0,1.0
36,10870800,10.0,1.0,1.0
37,10859700,10.0,1.0,1.0
38,11143800,10.0,1.0,1.0
39,10789900,10.0,1.0,1.0
40,10665400,10.0,1.0,1.0
41,11825800,10.0,1.0,1.0
42,10902900,10.0,1.0,1.0
43,11129800,10.0,1.0,1.0
44,10679800,10.0,1.0,1.0
45,13863900,10.0,1.0,1.0
46,10111800,10.0,1.0,1.0
47,11955700,10.0,1.0,1.0
48,10891800,10.0,1.0,1.0
49,12394600,10.0,1.0,1.0
50,11198200,10.0,1.0,1.0
51,10821500,10.0,1.0,1.0
52,15230000,10.0,1.0,1.0
53,10731100,10.0,1.0,1.0
54,14672500,10.0,1.0,1.0
55,12484900,10.0,1.0,1.0
56,11213900,10.0,1.0,1.0
57,10151100,10.0,1.0,1.0
58,11060900,10.0,1.0,1.0
59,11341900,10.0,1.0,1.0
60,10795700,10.0,1.0,1.0
61,11387500,10.0,1.0,1.0
62,10382200,10.0,1.0,1.0
63,13104300,10.0,1.0,1.0
64,13034300,10.0,1.0,1.0
65,10675100,10.0,1.0,1.0
66,10544400,10.0,1.0,1.0
67,11146700,10.0,1.0,1.0
68,10140000,10.0,1.0,1.0
69,13774000,10.0,1.0,1.0
70,13922800,10.0,1.0,1.0
71,13610800,10.0,1.0,1.0
72,10657400,10.0,1.0,1.0
73,11340400,10.0,1.0,1.0
74,11246900,10.0,1.0,1.0
75,11057700,10.0,1.0,1.0
76,11056500,10.0,1.0,1.0
77,12453300,10.0,1.0,1.0
78,10984800,10.0,1.0,1.0
79,13796600,10.0,1.0,1.0
80,17502000,10.0,1.0,1.0
81,11790700,10.0,1.0,1.0
82,12601700,10.0,1.0,1.0
83,12811100,10.0,1.0,1.0
84,10619800,10.0,1.0,1.0
85,12306500,10.0,1.0,1.0
86,12635900,10.0,1.0,1.0
87,11466500,10.0,1.0,1.0
88,18277500,10.0,1.0,1.0
89,11204700,10.0,1.0,1.0
90,12050900,10.0,1.0,1.0
91,12201000,10.0,1.0,1.0
92,11342700,10.0,1.0,1.0
93,11417100,10.0,1.0,1.0
94,11754300,10.0,1.0,1.0
95,11001700,10.0,1.0,1.0
96,11777300,10.0,1.0,1.0
97,11524000,10.0,1.0,1.0
98,11057000,10.0,1.0,1.0
99,10803600,10.0,1.0,1.0
100,12372700,10.0,1.0,1.0
101,10955400,10.0,1.0,1.0
102,13938800,10.0,1.0,1.0
103,14890600,10.0,1.0,1.0
104,13950800,10.0,1.0,1.0
105,15549100,10.0,1.0,1.0
106,13679900,10.0,1.0,1.0
107,11820600,10.0,1.0,1.0
108,11613400,10.0,1.0,1.0
109,10583600,10.0,1.0,1.0
110,11187200,10.0,1.0,1.0
111,12968300,10.0,1.0,1.0
112,10843600,10.0,1.0,1.0
113,15197800,10.0,1.0,1.0
114,9998200,10.0,1.0,1.0
115,10639500,10.0,1.0,1.0
116,10635100,10.0,1.0,1.0
117,12889100,10.0,1.0,1.0
118,10801900,10.0,1.0,1.0
119,14190500,10.0,1.0,1.0
120,14244300,10.0,1.0,1.0
121,14162500,10.0,1.0,1.0
122,11481400,10.0,1.0,1.0
123,10415400,10.0,1.0,1.0
124,12762700,10.0,1.0,1.0
125,16980500,10.0,1.0,1.0
126,16585200,10.0,1.0,1.0
127,16004400,10.0,1.0,1.0
128,11859100,10.0,1.0,1.0
129,11868800,10.0,1.0,1.0
130,9910800,10.0,1.0,1.0
131,11194200,10.0,1.0,1.0
132,14664700,10.0,1.0,1.0
133,10575400,10.0,1.0,1.0
134,15296500,10.0,1.0,1.0
135,10495200,10.0,1.0,1.0
136,11049300,10.0,1.0,1.0
137,11700100,10.0,1.0,1.0
138,10520200,10.0,1.0,1.0
139,10362400,10.0,1.0,1.0
140,9794000,10.0,1.0,1.0
141,9851500,10.0,1.0,1.0
142,11160600,10.0,1.0,1.0
143,12026100,10.0,1.0,1.0
144,10280400,10.0,1.0,1.0
145,9906300,10.0,1.0,1.0
146,14375900,10.0,1.0,1.0
147,13557300,10.0,1.0,1.0
148,10861900,10.0,1.0,1.0
149,10420900,10.0,1.0,1.0
150,11739500,10.0,1.0,1.0
151,11361800,10.0,1.0,1.0
152,13056100,10.0,1.0,1.0
153,12425100,10.0,1.0,1.0
154,10591200,10.0,1.0,1.0
155,13464800,10.0,1.0,1.0
156,10075900,10.0,1.0,1.0
157,11320200,10.0,1.0,1.0
158,10529700,10.0,1.0,1.0
159,10948900,10.0,1.0,1.0
160,10302700,10.0,1.0,1.0
161,9885500,10.0,1.0,1.0
162,11617700,10.0,1.0,1.0
163,13007900,10.0,1.0,1.0
164,15380900,10.0,1.0,1.0
165,11411600,10.0,1.0,1.0
166,11523500,10.0,1.0,1.0
167,12448700,10.0,1.0,1.0
168,12457300,10.0,1.0,1.0
169,11283700,10.0,1.0,1.0
170,13340600,10.0,1.0,1.0
171,10838200,10.0,1.0,1.0
172,10518400,10.0,1.0,1.0
173,13990700,10.0,1.0,1.0
174,10496500,10.0,1.0,1.0
175,10543100,10.0,1.0,1.0
176,13682900,10.0,1.0,1.0
177,12074800,10.0,1.0,1.0
178,13856300,10.0,1.0,1.0
179,12271600,10.0,1.0,1.0
180,11049700,10.0,1.0,1.0
181,17971800,10.0,1.0,1.0
182,12306600,10.0,1.0,1.0
183,11922500,10.0,1.0,1.0
184,11307200,10.0,1.0,1.0
185,12153500,10.0,1.0,1.0
186,16355200,10.0,1.0,1.0
187,16436200,10.0,1.0,1.0
188,15516400,10.0,1.0,1.0
189,10901000,10.0,1.0,1.0
190,10428600,10.0,1.0,1.0
191,12130200,10.0,1.0,1.0
192,11052000,10.0,1.0,1.0
193,10451400,10.0,1.0,1.0
194,13345300,10.0,1.0,1.0
195,15270900,10.0,1.0,1.0
196,10513900,10.0,1.0,1.0
197,15108200,10.0,1.0,1.0
198,11692700,10.0,1.0,1.0
199,10745300,10.0,1.0,1.0
200,12209100,10.0,1.0,1.0
201,13178700,10.0,1.0,1.0
202,12946700,10.0,1.0,1.0
203,10320800,10.0,1.0,1.0
204,10486800,10.0,1.0,1.0
205,16635100,10.0,1.0,1.0
206,11133800,10.0,1.0,1.0
207,11279000,10.0,1.0,1.0
208,10735600,10.0,1.0,1.0
209,13149700,10.0,1.0,1.0
210,10019800,10.0,1.0,1.0
211,11032300,10.0,1.0,1.0
212,13140400,10.0,1.0,1.0
213,11257500,10.0,1.0,1.0
214,17617700,10.0,1.0,1.0
215,11520800,10.0,1.0,1.0
216,10865900,10.0,1.0,1.0
217,12304600,10.0,1.0,1.0
218,10329400,10.0,1.0,1.0
219,14109800,10.0,1.0,1.0
220,13619400,10.0,1.0,1.0
221,22702800,10.0,1.0,1.0
222,13620500,10.0,1.0,1.0
223,9880100,10.0,1.0,1.0
224,10697600,10.0,1.0,1.0
225,10778700,10.0,1.0,1.0
226,11383800,10.0,1.0,1.0
227,10902700,10.0,1.0,1.0
228,13799700,10.0,1.0,1.0
229,10795800,10.0,1.0,1.0
230,14380900,10.0,1.0,1.0
231,13998200,10.0,1.0,1.0
232,11396100,10.0,1.0,1.0
233,12079800,10.0,1.0,1.0
234,12868300,10.0,1.0,1.0
235,11593100,10.0,1.0,1.0
236,10152800,10.0,1.0,1.0
237,12272600,10.0,1.0,1.0
238,14403800,10.0,1.0,1.0
239,10768500,10.0,1.0,1.0
240,10096100,10.0,1.0,1.0
241,13730500,10.0,1.0,1.0
242,11158000,10.0,1.0,1.0
243,10257100,10.0,1.0,1.0
244,12048200,10.0,1.0,1.0
245,14938300,10.0,1.0,1.0
246,17131500,10.0,1.0,1.0
247,12003100,10.0,1.0,1.0
248,11706500,10.0,1.0,1.0
249,11415600,10.0,1.0,1.0
250,12063100,10.0,1.0,1.0
251,13251400,10.0,1.0,1.0
252,13256500,10.0,1.0,1.0
253,10971100,10.0,1.0,1.0
254,10678400,10.0,1.0,1.0
255,16401000,10.0,1.0,1.0
256,11878200,10.0,1.0,1.0
257,11131500,10.0,1.0,1.0
258,10950200,10.0,1.0,1.0
259,10692900,10.0,1.0,1.0
260,13978000,10.0,1.0,1.0
261,10606500,10.0,1.0,1.0
262,12999600,10.0,1.0,1.0
263,17733400,10.0,1.0,1.0
264,10381500,10.0,1.0,1.0
265,12792500,10.0,1.0,1.0
266,13049000,10.0,1.0,1.0
267,11650000,10.0,1.0,1.0
268,14225400,10.0,1.0,1.0
269,14030100,10.0,1.0,1.0
270,10844900,10.0,1.0,1.0
271,18165800,10.0,1.0,1.0
272,10521300,10.0,1.0,1.0
273,11596900,10.0,1.0,1.0
274,11827400,10.0,1.0,1.0
275,10938900,10.0,1.0,1.0
276,13685200,10.0,1.0,1.0
277,11685100,10.0,1.0,1.0
278,11586300,10.0,1.0,1.0
279,19703400,10.0,1.0,1.0
280,11140900,10.0,1.0,1.0
281,10495700,10.0,1.0,1.0
282,11744300,10.0,1.0,1.0
283,10723700,10.0,1.0,1.0
284,13789200,10.0,1.0,1.0
285,9569300,10.0,1.0,1.0
286,11930100,10.0,1.0,1.0
287,13432700,10.0,1.0,1.0
288,10601600,10.0,1.0,1.0
289,11699000,10.0,1.0,1.0
290,10995800,10.0,1.0,1.0
291,10657900,10.0,1.0,1.0
292,11485600,10.0,1.0,1.0
293,12055600,10.0,1.0,1.0
294,10076800,10.0,1.0,1.0
295,11356800,10.0,1.0,1.0
296,15314400,10.0,1.0,1.0
297,11814000,10.0,1.0,1.0
298,10107100,10.0,1.0,1.0
299,9466400,10.0,1.0,1.0
300,9913300,10.0,1.0,1.0
301,11298300,10.0,1.0,1.0
302,17207500,10.0,1.0,1.0
303,12131700,10.0,1.0,1.0
304,10842300,10.0,1.0,1.0
305,15392400,10.0,1.0,1.0
306,11701000,10.0,1.0,1.0
307,10596700,10.0,1.0,1.0
308,10468900,10.0,1.0,1.0
309,12105700,10.0,1.0,1.0
310,10568600,10.0,1.0,1.0
311,11382600,10.0,1.0,1.0
312,11390400,10.0,1.0,1.0
313,17709700,10.0,1.0,1.0
314,10048900,10.0,1.0,1.0
315,11067900,10.0,1.0,1.0
316,10701400,10.0,1.0,1.0
317,10100300,10.0,1.0,1.0
318,10572300,10.0,1.0,1.0
319,13409600,10.0,1.0,1.0
320,10658500,10.0,1.0,1.0
321,11672300,10.0,1.0,1.0
322,14803600,10.0,1.0,1.0
323,12301200,10.0,1.0,1.0
324,12012000,10.0,1.0,1.0
325,11781400,10.0,1.0,1.0
326,11535200,10.0,1.0,1.0
327,11553300,10.0,1.0,1.0
328,12593800,10.0,1.0,1.0
329,10346200,10.0,1.0,1.0
330,13905500,10.0,1.0,1.0
331,11286300,10.0,1.0,1.0
332,10575100,10.0,1.0,1.0
333,11477000,10.0,1.0,1.0
334,11408200,10.0,1.0,1.0
335,11520100,10.0,1.0,1.0
336,11032100,10.0,1.0,1.0
337,11961300,10.0,1.0,1.0
338,13600000,10.0,1.0,1.0
339,15780100,10.0,1.0,1.0
340,10985600,10.0,1.0,1.0
341,10017100,10.0,1.0,1.0
342,11378200,10.0,1.0,1.0
343,15408400,10.0,1.0,1.0
344,11201900,10.0,1.0,1.0
345,14528900,10.0,1.0,1.0
346,12874300,10.0,1.0,1.0
347,15803900,10.0,1.0,1.0
348,10209200,10.0,1.0,1.0
349,12507700,10.0,1.0,1.0
350,10830000,10.0,1.0,1.0
351,12197500,10.0,1.0,1.0
352,10629500,10.0,1.0,1.0
353,12629500,10.0,1.0,1.0
354,12540200,10.0,1.0,1.0
355,19807200,10.0,1.0,1.0
356,15496200,10.0,1.0,1.0
357,10128000,10.0,1.0,1.0
358,13582900,10.0,1.0,1.0
359,10292400,10.0,1.0,1.0
360,11938300,10.0,1.0,1.0
361,11479200,10.0,1.0,1.0
362,10844400,10.0,1.0,1.0
363,10873600,10.0,1.0,1.0
364,10482100,10.0,1.0,1.0
365,11416800,10.0,1.0,1.0
366,12172000,10.0,1.0,1.0
367,10732100,10.0,1.0,1.0
368,11785900,10.0,1.0,1.0
369,10368200,10.0,1.0,1.0
370,16654400,10.0,1.0,1.0
371,14267100,10.0,1.0,1.0
372,14341200,10.0,1.0,1.0
373,9714500,10.0,1.0,1.0
374,10327900,10.0,1.0,1.0
375,11657700,10.0,1.0,1.0
376,13052500,10.0,1.0,1.0
377,10750500,10.0,1.0,1.0
378,11525700,10.0,1.0,1.0
379,14167900,10.0,1.0,1.0
380,11606400,10.0,1.0,1.0
381,14206400,10.0,1.0,1.0
382,11618800,10.0,1.0,1.0
383,11007400,10.0,1.0,1.0
384,10356100,10.0,1.0,1.0
385,10035500,10.0,1.0,1.0
386,26593200,10.0,1.0,1.0
387,12767900,10.0,1.0,1.0
388,14725100,10.0,1.0,1.0
389,11642400,10.0,1.0,1.0
390,14187300,10.0,1.0,1.0
391,11365000,10.0,1.0,1.0
392,12966000,10.0,1.0,1.0
393,11979100,10.0,1.0,1.0
394,15050300,10.0,1.0,1.0
395,10882100,10.0,1.0,1.0
396,12889200,10.0,1.0,1.0
397,10478600,10.0,1.0,1.0
398,11547200,10.0,1.0,1.0
399,10940400,10.0,1.0,1.0
400,12508400,10.0,1.0,1.0
401,10168200,10.0,1.0,1.0
402,12320100,10.0,1.0,1.0
403,10388000,10.0,1.0,1.0
404,13791900,10.0,1.0,1.0
405,17700200,10.0,1.0,1.0
406,10512000,10.0,1.0,1.0
407,11359100,10.0,1.0,1.0
408,12177900,10.0,1.0,1.0
409,10739900,10.0,1.0,1.0
410,14559900,10.0,1.0,1.0
411,12315100,10.0,1.0,1.0
412,13011500,10.0,1.0,1.0
413,17389600,10.0,1.0,1.0
414,13564600,10.0,1.0,1.0
415,10804600,10.0,1.0,1.0
416,14133800,10.0,1.0,1.0
417,10886300,10.0,1.0,1.0
418,12316500,10.0,1.0,1.0
419,14090200,10.0,1.0,1.0
420,11377000,10.0,1.0,1.0
421,15817300,10.0,1.0,1.0
422,12320700,10.0,1.0,1.0
423,10270000,10.0,1.0,1.0
424,11032500,10.0,1.0,1.0
425,11496900,10.0,1.0,1.0
426,10796900,10.0,1.0,1.0
427,11140400,10.0,1.0,1.0
428,12592300,10.0,1.0,1.0
429,13538700,10.0,1.0,1.0
430,11718100,10.0,1.0,1.0
431,9579600,10.0,1.0,1.0
432,10866000,10.0,1.0,1.0
433,11095300,10.0,1.0,1.0
434,11827200,10.0,1.0,1.0
435,14786800,10.0,1.0,1.0
436,10175500,10.0,1.0,1.0
437,13891500,10.0,1.0,1.0
438,16707400,10.0,1.0,1.0
439,12194800,10.0,1.0,1.0
440,12884500,10.0,1.0,1.0
441,11068500,10.0,1.0,1.0
442,11060200,10.0,1.0,1.0
443,14756700,10.0,1.0,1.0
444,13814400,10.0,1.0,1.0
445,13993100,10.0,1.0,1.0
446,13662000,10.0,1.0,1.0
447,11211600,10.0,1.0,1.0
448,11460200,10.0,1.0,1.0
449,13888200,10.0,1.0,1.0
450,10627600,10.0,1.0,1.0
451,12011700,10.0,1.0,1.0
452,12122800,10.0,1.0,1.0
453,12701000,10.0,1.0,1.0
454,16299900,10.0,1.0,1.0
455,10846600,10.0,1.0,1.0
456,10602700,10.0,1.0,1.0
457,9959100,10.0,1.0,1.0
458,11318000,10.0,1.0,1.0
459,11914800,10.0,1.0,1.0
460,12671300,10.0,1.0,1.0
461,14224100,10.0,1.0,1.0
462,15728200,10.0,1.0,1.0
463,11519200,10.0,1.0,1.0
464,12438500,10.0,1.0,1.0
465,16587000,10.0,1.0,1.0
466,12289900,10.0,1.0,1.0
467,14144800,10.0,1.0,1.0
468,10245500,10.0,1.0,1.0
469,12480100,10.0,1.0,1.0
470,11797400,10.0,1.0,1.0
471,11429500,10.0,1.0,1.0
472,11971700,10.0,1.0,1.0
473,11746200,10.0,1.0,1.0
474,10374800,10.0,1.0,1.0
475,10767500,10.0,1.0,1.0
476,13040500,10.0,1.0,1.0
477,13731200,10.0,1.0,1.0
478,11384200,10.0,1.0,1.0
479,16131400,10.0,1.0,1.0
480,11907300,10.0,1.0,1.0
481,9103900,10.0,1.0,1.0
482,10140400,10.0,1.0,1.0
483,11181900,10.0,1.0,1.0
484,11395400,10.0,1.0,1.0
485,12195700,10.0,1.0,1.0
486,12290000,10.0,1.0,1.0
487,13877400,10.0,1.0,1.0
488,11288200,10.0,1.0,1.0
489,11049600,10.0,1.0,1.0
490,12920100,10.0,1.0,1.0
491,12436800,10.0,1.0,1.0
492,11535700,10.0,1.0,1.0
493,11741700,10.0,1.0,1.0
494,15004300,10.0,1.0,1.0
495,11820800,10.0,1.0,1.0
496,13535500,10.0,1.0,1.0
497,14080900,10.0,1.0,1.0
498,12053000,10.0,1.0,1.0
499,12218600,10.0,1.0,1.0
500,19538800,10.0,1.0,1.0
501,12819300,10.0,1.0,1.0
502,14707400,10.0,1.0,1.0
503,19798200,10.0,1.0,1.0
504,12239000,10.0,1.0,1.0
505,10739600,10.0,1.0,1.0
506,13787700,10.0,1.0,1.0
507,10747500,10.0,1.0,1.0
508,11130300,10.0,1.0,1.0
509,11400800,10.0,1.0,1.0
510,11206500,10.0,1.0,1.0
511,14190200,10.0,1.0,1.0
512,11786900,10.0,1.0,1.0
513,11017800,10.0,1.0,1.0
514,11296700,10.0,1.0,1.0
515,11440500,10.0,1.0,1.0
516,11122500,10.0,1.0,1.0
517,15434400,10.0,1.0,1.0
518,15886800,10.0,1.0,1.0
519,14610600,10.0,1.0,1.0
520,12825700,10.0,1.0,1.0
521,12672700,10.0,1.0,1.0
522,13926900,10.0,1.0,1.0
523,14922400,10.0,1.0,1.0
524,12015600,10.0,1.0,1.0
525,14338400,10.0,1.0,1.0
526,10643100,10.0,1.0,1.0
527,17541100,10.0,1.0,1.0
528,13413600,10.0,1.0,1.0
529,11986800,10.0,1.0,1.0
530,11741400,10.0,1.0,1.0
531,12740400,10.0,1.0,1.0
532,11117700,10.0,1.0,1.0
533,13260900,10.0,1.0,1.0
534,11993100,10.0,1.0,1.0
535,16912800,10.0,1.0,1.0
536,13097300,10.0,1.0,1.0
537,13454300,10.0,1.0,1.0
538,12208200,10.0,1.0,1.0
539,11269100,10.0,1.0,1.0
540,14461100,10.0,1.0,1.0
541,15116100,10.0,1.0,1.0
542,15109800,10.0,1.0,1.0
543,13002300,10.0,1.0,1.0
544,12000600,10.0,1.0,1.0
545,12027100,10.0,1.0,1.0
546,12783900,10.0,1.0,1.0
547,19624900,10.0,1.0,1.0
548,14037900,10.0,1.0,1.0
549,12530800,10.0,1.0,1.0
550,11390000,10.0,1.0,1.0
551,11583200,10.0,1.0,1.0
552,11299300,10.0,1.0,1.0
553,10933100,10.0,1.0,1.0
554,14980000,10.0,1.0,1.0
555,12099000,10.0,1.0,1.0
556,15467200,10.0,1.0,1.0
557,11124200,10.0,1.0,1.0
558,20811900,10.0,1.0,1.0
559,14008300,10.0,1.0,1.0
560,14311900,10.0,1.0,1.0
561,13679500,10.0,1.0,1.0
562,13504000,10.0,1.0,1.0
563,15311600,10.0,1.0,1.0
564,17930800,10.0,1.0,1.0
565,13318800,10.0,1.0,1.0
566,11240000,10.0,1.0,1.0
567,11625100,10.0,1.0,1.0
568,11655700,10.0,1.0,1.0
569,12030000,10.0,1.0,1.0
570,15095100,10.0,1.0,1.0
571,13998600,10.0,1.0,1.0
572,10942200,10.0,1.0,1.0
573,12871800,10.0,1.0,1.0
574,11836600,10.0,1.0,1.0
575,10961400,10.0,1.0,1.0
576,12846200,10.0,1.0,1.0
577,11773900,10.0,1.0,1.0
578,11553600,10.0,1.0,1.0
579,11390300,10.0,1.0,1.0
580,13064500,10.0,1.0,1.0
581,18179500,10.0,1.0,1.0
582,11581900,10.0,1.0,1.0
583,13122100,10.0,1.0,1.0
584,12385100,10.0,1.0,1.0
585,12727600,10.0,1.0,1.0
586,12869300,10.0,1.0,1.0
587,11144900,10.0,1.0,1.0
588,11753400,10.0,1.0,1.0
589,18137600,10.0,1.0,1.0
590,11458900,10.0,1.0,1.0
591,11558600,10.0,1.0,1.0
592,11473800,10.0,1.0,1.0
593,11445800,10.0,1.0,1.0
594,14517500,10.0,1.0,1.0
595,12332700,10.0,1.0,1.0
596,21262100,10.0,1.0,1.0
597,11871300,10.0,1.0,1.0
598,12583900,10.0,1.0,1.0
599,11198700,10.0,1.0,1.0
600,11046800,10.0,1.0,1.0
601,11068100,10.0,1.0,1.0
602,15622600,10.0,1.0,1.0
603,14497700,10.0,1.0,1.0
604,13299100,10.0,1.0,1.0
605,13332500,10.0,1.0,1.0
606,11821700,10.0,1.0,1.0
607,13231000,10.0,1.0,1.0
608,20691700,10.0,1.0,1.0
609,15473200,10.0,1.0,1.0
610,14897900,10.0,1.0,1.0
611,19625500,10.0,1.0,1.0
612,11697300,10.0,1.0,1.0
613,13307500,10.0,1.0,1.0
614,11217900,10.0,1.0,1.0
615,11708900,10.0,1.0,1.0
616,13394300,10.0,1.0,1.0
617,15280700,10.0,1.0,1.0
618,12684300,10.0,1.0,1.0
619,13164100,10.0,1.0,1.0
620,11709300,10.0,1.0,1.0
621,12338800,10.0,1.0,1.0
622,10716800,10.0,1.0,1.0
623,11515000,10.0,1.0,1.0
624,13006900,10.0,1.0,1.0
625,12696200,10.0,1.0,1.0
626,14231100,10.0,1.0,1.0
627,11543900,10.0,1.0,1.0
628,11153200,10.0,1.0,1.0
629,11572600,10.0,1.0,1.0
630,10782500,10.0,1.0,1.0
631,11367100,10.0,1.0,1.0
632,12820400,10.0,1.0,1.0
633,15622200,10.0,1.0,1.0
634,11653300,10.0,1.0,1.0
635,15858500,10.0,1.0,1.0
636,11196500,10.0,1.0,1.0
637,14063400,10.0,1.0,1.0
638,15797500,10.0,1.0,1.0
639,11823500,10.0,1.0,1.0
640,13206300,10.0,1.0,1.0
641,11037300,10.0,1.0,1.0
642,13897100,10.0,1.0,1.0
643,16520200,10.0,1.0,1.0
644,11522400,10.0,1.0,1.0
645,12705300,10.0,1.0,1.0
646,11249500,10.0,1.0,1.0
647,13281000,10.0,1.0,1.0
648,12374300,10.0,1.0,1.0
649,11323800,10.0,1.0,1.0
650,12455100,10.0,1.0,1.0
651,13051200,10.0,1.0,1.0
652,18086600,10.0,1.0,1.0
653,11668400,10.0,1.0,1.0
654,12060700,10.0,1.0,1.0
655,12169000,10.0,1.0,1.0
656,15564400,10.0,1.0,1.0
657,11673400,10.0,1.0,1.0
658,13252900,10.0,1.0,1.0
659,11894500,10.0,1.0,1.0
660,12635500,10.0,1.0,1.0
661,11714000,10.0,1.0,1.0
662,11106900,10.0,1.0,1.0
663,11688700,10.0,1.0,1.0
664,15405900,10.0,1.0,1.0
665,15591300,10.0,1.0,1.0
666,11665700,10.0,1.0,1.0
667,16902600,10.0,1.0,1.0
668,11281900,10.0,1.0,1.0
669,13154800,10.0,1.0,1.0
670,13087400,10.0,1.0,1.0
671,13533700,10.0,1.0,1.0
672,15864300,10.0,1.0,1.0
673,12114700,10.0,1.0,1.0
674,12702600,10.0,1.0,1.0
675,14090000,10.0,1.0,1.0
676,12704100,10.0,1.0,1.0
677,11892300,10.0,1.0,1.0
678,11829500,10.0,1.0,1.0
679,9701900,10.0,1.0,1.0
680,13820400,10.0,1.0,1.0
681,10716800,10.0,1.0,1.0
682,12396800,10.0,1.0,1.0
683,18178400,10.0,1.0,1.0
684,11027600,10.0,1.0,1.0
685,11611200,10.0,1.0,1.0
686,11133900,10.0,1.0,1.0
687,12661300,10.0,1.0,1.0
688,11481900,10.0,1.0,1.0
