,datachange_notifications,period,queuesize,change_int
176,13854900,10.0,1.0,10.0
177,12972300,10.0,1.0,10.0
178,13369300,10.0,1.0,10.0
179,12074800,10.0,1.0,10.0
180,12455200,10.0,1.0,10.0
181,12120500,10.0,1.0,10.0
182,13037900,10.0,1.0,10.0
183,11995400,10.0,1.0,10.0
184,13011000,10.0,1.0,10.0
185,12947500,10.0,1.0,10.0
186,12721300,10.0,1.0,10.0
187,12389300,10.0,1.0,10.0
188,11883500,10.0,1.0,10.0
189,13182600,10.0,1.0,10.0
190,13304400,10.0,1.0,10.0
191,11018400,10.0,1.0,10.0
192,13231300,10.0,1.0,10.0
193,12868200,10.0,1.0,10.0
194,12822200,10.0,1.0,10.0
195,14317400,10.0,1.0,10.0
196,11497300,10.0,1.0,10.0
197,11715200,10.0,1.0,10.0
198,12657000,10.0,1.0,10.0
199,13982200,10.0,1.0,10.0
200,12286000,10.0,1.0,10.0
201,13083800,10.0,1.0,10.0
202,12133300,10.0,1.0,10.0
203,14059000,10.0,1.0,10.0
204,12336300,10.0,1.0,10.0
205,12127700,10.0,1.0,10.0
206,13152100,10.0,1.0,10.0
207,13091700,10.0,1.0,10.0
208,12861400,10.0,1.0,10.0
209,12034200,10.0,1.0,10.0
210,13139000,10.0,1.0,10.0
211,12943600,10.0,1.0,10.0
212,13402800,10.0,1.0,10.0
213,11602100,10.0,1.0,10.0
214,13394900,10.0,1.0,10.0
215,11909900,10.0,1.0,10.0
216,13952000,10.0,1.0,10.0
217,12123500,10.0,1.0,10.0
218,12221100,10.0,1.0,10.0
219,12994600,10.0,1.0,10.0
220,13092800,10.0,1.0,10.0
221,12444700,10.0,1.0,10.0
222,11995300,10.0,1.0,10.0
223,13190300,10.0,1.0,10.0
224,13905500,10.0,1.0,10.0
225,13301400,10.0,1.0,10.0
226,12015300,10.0,1.0,10.0
227,13051900,10.0,1.0,10.0
228,12804200,10.0,1.0,10.0
229,14361400,10.0,1.0,10.0
230,11140700,10.0,1.0,10.0
231,13222200,10.0,1.0,10.0
232,13758000,10.0,1.0,10.0
233,12828500,10.0,1.0,10.0
234,14467600,10.0,1.0,10.0
235,12513600,10.0,1.0,10.0
236,13685600,10.0,1.0,10.0
237,13713900,10.0,1.0,10.0
238,13389200,10.0,1.0,10.0
239,15780400,10.0,1.0,10.0
240,11743800,10.0,1.0,10.0
241,12729200,10.0,1.0,10.0
242,11999300,10.0,1.0,10.0
243,12693900,10.0,1.0,10.0
244,11674600,10.0,1.0,10.0
245,12853000,10.0,1.0,10.0
246,13489100,10.0,1.0,10.0
247,12366900,10.0,1.0,10.0
248,12101700,10.0,1.0,10.0
249,12051800,10.0,1.0,10.0
250,13177800,10.0,1.0,10.0
251,12750600,10.0,1.0,10.0
252,12150200,10.0,1.0,10.0
253,11890500,10.0,1.0,10.0
254,13073400,10.0,1.0,10.0
255,12922300,10.0,1.0,10.0
256,12095100,10.0,1.0,10.0
257,12179400,10.0,1.0,10.0
258,12935800,10.0,1.0,10.0
259,13637100,10.0,1.0,10.0
260,14422900,10.0,1.0,10.0
261,10370500,10.0,1.0,10.0
262,13274300,10.0,1.0,10.0
263,12562700,10.0,1.0,10.0
264,13494000,10.0,1.0,10.0
265,11399100,10.0,1.0,10.0
266,12151900,10.0,1.0,10.0
267,12188700,10.0,1.0,10.0
268,13467200,10.0,1.0,10.0
269,11747100,10.0,1.0,10.0
270,13023200,10.0,1.0,10.0
271,13053200,10.0,1.0,10.0
272,14290700,10.0,1.0,10.0
273,11234400,10.0,1.0,10.0
274,13066900,10.0,1.0,10.0
275,13166200,10.0,1.0,10.0
276,13522000,10.0,1.0,10.0
277,11161600,10.0,1.0,10.0
278,13150500,10.0,1.0,10.0
279,12934400,10.0,1.0,10.0
280,12808900,10.0,1.0,10.0
281,13260400,10.0,1.0,10.0
282,12893700,10.0,1.0,10.0
283,11972600,10.0,1.0,10.0
284,12768200,10.0,1.0,10.0
285,14453900,10.0,1.0,10.0
286,10780900,10.0,1.0,10.0
287,12951400,10.0,1.0,10.0
288,12988400,10.0,1.0,10.0
289,13556700,10.0,1.0,10.0
290,11030300,10.0,1.0,10.0
291,13180200,10.0,1.0,10.0
292,13195000,10.0,1.0,10.0
293,13644100,10.0,1.0,10.0
294,11262500,10.0,1.0,10.0
295,13947400,10.0,1.0,10.0
296,12872100,10.0,1.0,10.0
297,14065600,10.0,1.0,10.0
298,14456100,10.0,1.0,10.0
299,14840300,10.0,1.0,10.0
300,12781800,10.0,1.0,10.0
301,13339100,10.0,1.0,10.0
302,13469500,10.0,1.0,10.0
303,12897800,10.0,1.0,10.0
304,12859000,10.0,1.0,10.0
