,method_call,delay
0,24402500.0,0.0
1,26985300.0,0.0
2,24793200.0,0.0
3,23122600.0,0.0
4,19457600.0,0.0
5,23032100.0,0.0
6,17354600.0,0.0
7,26323200.0,0.0
8,19296300.0,0.0
9,29303100.0,0.0
10,19603300.0,0.0
11,20382300.0,0.0
12,16656000.0,0.0
13,16506600.0,0.0
14,18476400.0,0.0
15,19667600.0,0.0
16,21005500.0,0.0
17,19213200.0,0.0
18,27042400.0,0.0
19,25195500.0,0.0
20,18863000.0,0.0
21,21385000.0,0.0
22,17456100.0,0.0
23,16764000.0,0.0
24,16147000.0,0.0
25,17068300.0,0.0
26,16046400.0,0.0
27,24974300.0,0.0
28,16867600.0,0.0
29,23197100.0,0.0
30,20618900.0,0.0
31,17709800.0,0.0
32,21201100.0,0.0
33,17147000.0,0.0
34,21886300.0,0.0
35,17111200.0,0.0
36,21960100.0,0.0
37,20645400.0,0.0
38,17927500.0,0.0
39,17160200.0,0.0
40,24468500.0,0.0
41,27922100.0,0.0
42,24475600.0,0.0
43,22538700.0,0.0
44,19508000.0,0.0
45,17258000.0,0.0
46,19436200.0,0.0
47,20927200.0,0.0
48,18038900.0,0.0
49,19168700.0,0.0
50,24122800.0,0.0
51,21686900.0,0.0
52,20985100.0,0.0
53,18033100.0,0.0
54,25345200.0,0.0
55,23209700.0,0.0
56,17560400.0,0.0
57,23789900.0,0.0
58,19408400.0,0.0
59,18587200.0,0.0
60,23152400.0,0.0
61,18358500.0,0.0
62,22181600.0,0.0
63,20584400.0,0.0
64,17065300.0,0.0
65,22514300.0,0.0
66,17647800.0,0.0
67,20587700.0,0.0
68,17924800.0,0.0
69,17943600.0,0.0
70,19226600.0,0.0
71,20585000.0,0.0
72,24255500.0,0.0
73,17240100.0,0.0
74,17342900.0,0.0
75,18461400.0,0.0
76,20123000.0,0.0
77,19200500.0,0.0
78,18007600.0,0.0
79,24413900.0,0.0
80,21114500.0,0.0
81,26177000.0,0.0
82,27881000.0,0.0
83,22433600.0,0.0
84,23657400.0,0.0
85,20327900.0,0.0
86,24657300.0,0.0
87,20714900.0,0.0
88,21214700.0,0.0
89,22631900.0,0.0
90,18401200.0,0.0
91,25574200.0,0.0
92,17957300.0,0.0
93,17875800.0,0.0
94,21470200.0,0.0
95,17587100.0,0.0
96,18938800.0,0.0
97,17263000.0,0.0
98,18337700.0,0.0
99,30485500.0,0.0
100,18947900.0,0.0
101,23640600.0,0.0
102,19209700.0,0.0
103,17664100.0,0.0
104,18454800.0,0.0
105,20031900.0,0.0
106,22300900.0,0.0
107,16672100.0,0.0
108,17647900.0,0.0
109,18037400.0,0.0
110,22035700.0,0.0
111,16767000.0,0.0
112,20421000.0,0.0
113,17575400.0,0.0
114,18250400.0,0.0
115,17408500.0,0.0
116,20595900.0,0.0
117,20211800.0,0.0
118,17385200.0,0.0
119,18957600.0,0.0
120,20535000.0,0.0
121,17044900.0,0.0
122,17552600.0,0.0
123,21349300.0,0.0
124,19775000.0,0.0
125,20126100.0,0.0
126,23059900.0,0.0
127,19937700.0,0.0
128,23500100.0,0.0
129,16885300.0,0.0
130,19478800.0,0.0
131,24143800.0,0.0
132,17382200.0,0.0
133,21982600.0,0.0
134,17674000.0,0.0
135,17120100.0,0.0
136,18945100.0,0.0
137,16570300.0,0.0
138,24242000.0,0.0
139,18050000.0,0.0
140,20118500.0,0.0
