,datachange_notifications,period,queuesize,change_int
176,10187900,10.0,1.0,10.0
177,10091900,10.0,1.0,10.0
178,10246100,10.0,1.0,10.0
179,13750400,10.0,1.0,10.0
180,13510400,10.0,1.0,10.0
181,9957000,10.0,1.0,10.0
182,11353500,10.0,1.0,10.0
183,11906400,10.0,1.0,10.0
184,10958400,10.0,1.0,10.0
185,9883500,10.0,1.0,10.0
186,11125700,10.0,1.0,10.0
187,15112600,10.0,1.0,10.0
188,9879400,10.0,1.0,10.0
189,10560600,10.0,1.0,10.0
190,10817900,10.0,1.0,10.0
191,10046800,10.0,1.0,10.0
192,11383700,10.0,1.0,10.0
193,13603200,10.0,1.0,10.0
194,14077800,10.0,1.0,10.0
195,9794200,10.0,1.0,10.0
196,13734800,10.0,1.0,10.0
197,9827300,10.0,1.0,10.0
198,10659700,10.0,1.0,10.0
199,12663100,10.0,1.0,10.0
200,11415100,10.0,1.0,10.0
201,12310100,10.0,1.0,10.0
202,10371800,10.0,1.0,10.0
203,12715900,10.0,1.0,10.0
204,11210900,10.0,1.0,10.0
205,17474500,10.0,1.0,10.0
206,10813000,10.0,1.0,10.0
207,14276000,10.0,1.0,10.0
208,10645800,10.0,1.0,10.0
209,10244200,10.0,1.0,10.0
210,11564700,10.0,1.0,10.0
211,11382500,10.0,1.0,10.0
212,10474300,10.0,1.0,10.0
213,15838900,10.0,1.0,10.0
214,11710100,10.0,1.0,10.0
215,10397700,10.0,1.0,10.0
216,12785000,10.0,1.0,10.0
217,12252400,10.0,1.0,10.0
218,14980100,10.0,1.0,10.0
219,14409400,10.0,1.0,10.0
220,14140300,10.0,1.0,10.0
221,24868300,10.0,1.0,10.0
222,18099600,10.0,1.0,10.0
223,14586100,10.0,1.0,10.0
224,15212900,10.0,1.0,10.0
225,15494300,10.0,1.0,10.0
226,14518900,10.0,1.0,10.0
227,18331200,10.0,1.0,10.0
228,12301200,10.0,1.0,10.0
229,10321400,10.0,1.0,10.0
230,11491000,10.0,1.0,10.0
231,13889400,10.0,1.0,10.0
232,15838200,10.0,1.0,10.0
233,11137300,10.0,1.0,10.0
234,10283200,10.0,1.0,10.0
235,18085100,10.0,1.0,10.0
236,11376200,10.0,1.0,10.0
237,10593900,10.0,1.0,10.0
238,10469800,10.0,1.0,10.0
239,14692400,10.0,1.0,10.0
240,11628700,10.0,1.0,10.0
241,9644600,10.0,1.0,10.0
242,11650900,10.0,1.0,10.0
243,11286600,10.0,1.0,10.0
244,11779100,10.0,1.0,10.0
245,10230600,10.0,1.0,10.0
246,11279300,10.0,1.0,10.0
247,10590200,10.0,1.0,10.0
248,11309200,10.0,1.0,10.0
249,14815400,10.0,1.0,10.0
250,13643000,10.0,1.0,10.0
251,10569600,10.0,1.0,10.0
252,12165000,10.0,1.0,10.0
253,10524600,10.0,1.0,10.0
254,10584300,10.0,1.0,10.0
255,11747600,10.0,1.0,10.0
256,13575800,10.0,1.0,10.0
257,12167800,10.0,1.0,10.0
258,15178200,10.0,1.0,10.0
259,12417700,10.0,1.0,10.0
260,18317500,10.0,1.0,10.0
261,13511200,10.0,1.0,10.0
262,14732500,10.0,1.0,10.0
263,14388700,10.0,1.0,10.0
264,19492800,10.0,1.0,10.0
265,11255700,10.0,1.0,10.0
266,11441700,10.0,1.0,10.0
267,11363900,10.0,1.0,10.0
268,12964600,10.0,1.0,10.0
269,11341800,10.0,1.0,10.0
270,17329500,10.0,1.0,10.0
271,10692900,10.0,1.0,10.0
272,11297300,10.0,1.0,10.0
273,14337300,10.0,1.0,10.0
274,10045800,10.0,1.0,10.0
275,10711400,10.0,1.0,10.0
276,16813300,10.0,1.0,10.0
277,11010600,10.0,1.0,10.0
278,10734700,10.0,1.0,10.0
279,11681500,10.0,1.0,10.0
280,10515000,10.0,1.0,10.0
281,15835400,10.0,1.0,10.0
282,12376200,10.0,1.0,10.0
283,11437500,10.0,1.0,10.0
284,17117200,10.0,1.0,10.0
285,10094400,10.0,1.0,10.0
286,14327900,10.0,1.0,10.0
287,11540300,10.0,1.0,10.0
288,9904400,10.0,1.0,10.0
289,10239900,10.0,1.0,10.0
290,11865800,10.0,1.0,10.0
291,10792300,10.0,1.0,10.0
292,9820300,10.0,1.0,10.0
293,12663800,10.0,1.0,10.0
294,11225300,10.0,1.0,10.0
295,10810200,10.0,1.0,10.0
296,12871700,10.0,1.0,10.0
297,9970500,10.0,1.0,10.0
298,17235300,10.0,1.0,10.0
299,12749400,10.0,1.0,10.0
300,10624800,10.0,1.0,10.0
301,15372300,10.0,1.0,10.0
302,11222200,10.0,1.0,10.0
303,10298600,10.0,1.0,10.0
304,10697400,10.0,1.0,10.0
305,11205800,10.0,1.0,10.0
306,10494200,10.0,1.0,10.0
307,11444600,10.0,1.0,10.0
308,11212500,10.0,1.0,10.0
309,9847200,10.0,1.0,10.0
310,17502600,10.0,1.0,10.0
311,11659900,10.0,1.0,10.0
312,10358000,10.0,1.0,10.0
313,10417100,10.0,1.0,10.0
314,13415800,10.0,1.0,10.0
315,15867200,10.0,1.0,10.0
316,13683200,10.0,1.0,10.0
317,10485100,10.0,1.0,10.0
318,15559400,10.0,1.0,10.0
319,10728700,10.0,1.0,10.0
320,10202200,10.0,1.0,10.0
321,10970900,10.0,1.0,10.0
322,12418900,10.0,1.0,10.0
323,14363900,10.0,1.0,10.0
324,13125500,10.0,1.0,10.0
325,15218100,10.0,1.0,10.0
326,18821400,10.0,1.0,10.0
327,14735800,10.0,1.0,10.0
328,15996500,10.0,1.0,10.0
329,14097700,10.0,1.0,10.0
330,11610300,10.0,1.0,10.0
331,10287700,10.0,1.0,10.0
332,10822200,10.0,1.0,10.0
333,10961400,10.0,1.0,10.0
334,14975400,10.0,1.0,10.0
335,11336400,10.0,1.0,10.0
336,10244900,10.0,1.0,10.0
337,11864700,10.0,1.0,10.0
338,9741000,10.0,1.0,10.0
339,17377600,10.0,1.0,10.0
340,10996300,10.0,1.0,10.0
341,12114300,10.0,1.0,10.0
342,16487200,10.0,1.0,10.0
343,10796700,10.0,1.0,10.0
344,10522500,10.0,1.0,10.0
345,13114700,10.0,1.0,10.0
346,10347000,10.0,1.0,10.0
347,14205500,10.0,1.0,10.0
348,9649000,10.0,1.0,10.0
349,9935600,10.0,1.0,10.0
350,16129900,10.0,1.0,10.0
351,9926500,10.0,1.0,10.0
352,11109100,10.0,1.0,10.0
353,12511600,10.0,1.0,10.0
354,11494700,10.0,1.0,10.0
355,14128500,10.0,1.0,10.0
356,12529000,10.0,1.0,10.0
357,9998900,10.0,1.0,10.0
358,9979800,10.0,1.0,10.0
359,11113700,10.0,1.0,10.0
360,9994600,10.0,1.0,10.0
361,10721500,10.0,1.0,10.0
362,11268900,10.0,1.0,10.0
363,14968900,10.0,1.0,10.0
364,12230200,10.0,1.0,10.0
365,14070000,10.0,1.0,10.0
366,12804400,10.0,1.0,10.0
367,11958900,10.0,1.0,10.0
368,11865100,10.0,1.0,10.0
369,16513100,10.0,1.0,10.0
370,11007000,10.0,1.0,10.0
371,11916000,10.0,1.0,10.0
372,12852300,10.0,1.0,10.0
373,13353700,10.0,1.0,10.0
374,11937600,10.0,1.0,10.0
375,10917800,10.0,1.0,10.0
376,11584500,10.0,1.0,10.0
377,11631300,10.0,1.0,10.0
378,11689200,10.0,1.0,10.0
379,10588700,10.0,1.0,10.0
380,14241200,10.0,1.0,10.0
381,13989500,10.0,1.0,10.0
382,13894600,10.0,1.0,10.0
383,11273200,10.0,1.0,10.0
384,15962100,10.0,1.0,10.0
385,10862000,10.0,1.0,10.0
386,12893100,10.0,1.0,10.0
387,12581700,10.0,1.0,10.0
388,15753900,10.0,1.0,10.0
389,11485300,10.0,1.0,10.0
390,13893000,10.0,1.0,10.0
391,18143500,10.0,1.0,10.0
392,13347500,10.0,1.0,10.0
393,15255900,10.0,1.0,10.0
394,15831300,10.0,1.0,10.0
395,13785700,10.0,1.0,10.0
396,10751000,10.0,1.0,10.0
397,12482700,10.0,1.0,10.0
398,12252600,10.0,1.0,10.0
399,14229800,10.0,1.0,10.0
400,10034500,10.0,1.0,10.0
401,10518900,10.0,1.0,10.0
402,15808100,10.0,1.0,10.0
403,10082400,10.0,1.0,10.0
404,12265900,10.0,1.0,10.0
405,12613400,10.0,1.0,10.0
406,11361800,10.0,1.0,10.0
407,14612000,10.0,1.0,10.0
408,10831900,10.0,1.0,10.0
409,11376200,10.0,1.0,10.0
410,9819300,10.0,1.0,10.0
411,11839100,10.0,1.0,10.0
412,10664600,10.0,1.0,10.0
413,11707700,10.0,1.0,10.0
414,12734500,10.0,1.0,10.0
415,12344700,10.0,1.0,10.0
416,16722200,10.0,1.0,10.0
417,11893500,10.0,1.0,10.0
418,12203800,10.0,1.0,10.0
419,12314700,10.0,1.0,10.0
420,12350700,10.0,1.0,10.0
421,10735900,10.0,1.0,10.0
422,10479000,10.0,1.0,10.0
423,12290600,10.0,1.0,10.0
424,12471700,10.0,1.0,10.0
425,12098500,10.0,1.0,10.0
426,10952400,10.0,1.0,10.0
427,12513800,10.0,1.0,10.0
428,11376700,10.0,1.0,10.0
429,14261600,10.0,1.0,10.0
430,11231000,10.0,1.0,10.0
431,10674200,10.0,1.0,10.0
432,11207100,10.0,1.0,10.0
433,14513200,10.0,1.0,10.0
434,11571700,10.0,1.0,10.0
435,11540600,10.0,1.0,10.0
436,12616800,10.0,1.0,10.0
437,11491100,10.0,1.0,10.0
438,14378300,10.0,1.0,10.0
439,17304400,10.0,1.0,10.0
440,10158400,10.0,1.0,10.0
441,14373200,10.0,1.0,10.0
442,10937200,10.0,1.0,10.0
443,10390300,10.0,1.0,10.0
