,write_value,delay
0,14548100.0,0.0
1,21870900.0,0.0
2,10936400.0,0.0
3,11398000.0,0.0
4,17021900.0,0.0
5,11108200.0,0.0
6,16763600.0,0.0
7,12554400.0,0.0
8,13524500.0,0.0
9,11760300.0,0.0
10,13327900.0,0.0
11,15411400.0,0.0
12,16792000.0,0.0
13,15502000.0,0.0
14,13554700.0,0.0
15,14982700.0,0.0
16,13782600.0,0.0
17,12488500.0,0.0
18,12922700.0,0.0
19,13076700.0,0.0
20,14686600.0,0.0
21,12694000.0,0.0
22,12138400.0,0.0
23,17901600.0,0.0
24,12625800.0,0.0
25,13441600.0,0.0
26,15559400.0,0.0
27,14733600.0,0.0
28,15881700.0,0.0
29,11801800.0,0.0
30,17788500.0,0.0
31,12699500.0,0.0
32,12416700.0,0.0
33,13670700.0,0.0
34,13651500.0,0.0
35,14137600.0,0.0
36,14855100.0,0.0
37,12228600.0,0.0
38,12580100.0,0.0
39,12954300.0,0.0
40,13364400.0,0.0
41,13231000.0,0.0
42,11427200.0,0.0
43,15393900.0,0.0
44,13016200.0,0.0
45,14801400.0,0.0
46,9837500.0,0.0
47,11385500.0,0.0
48,12386000.0,0.0
49,17038800.0,0.0
50,12802600.0,0.0
51,10533500.0,0.0
52,13539500.0,0.0
53,11857000.0,0.0
54,13779300.0,0.0
55,12206700.0,0.0
56,12311800.0,0.0
57,13215700.0,0.0
58,12788700.0,0.0
59,13180500.0,0.0
60,12617500.0,0.0
61,12134000.0,0.0
62,13354000.0,0.0
63,13516100.0,0.0
64,13049300.0,0.0
65,17397200.0,0.0
66,11047700.0,0.0
67,16163500.0,0.0
68,18352500.0,0.0
69,13142600.0,0.0
70,12458400.0,0.0
71,13326200.0,0.0
72,25178700.0,0.0
73,15552900.0,0.0
74,12341100.0,0.0
75,15123400.0,0.0
76,12819400.0,0.0
77,12419700.0,0.0
78,12741500.0,0.0
79,14696000.0,0.0
80,15388300.0,0.0
81,12672100.0,0.0
82,18566100.0,0.0
83,13748200.0,0.0
84,14496700.0,0.0
85,12886000.0,0.0
86,13513100.0,0.0
87,17488000.0,0.0
88,11420700.0,0.0
89,15815400.0,0.0
90,12420300.0,0.0
91,13736600.0,0.0
92,10992200.0,0.0
93,17155000.0,0.0
94,15198600.0,0.0
95,14339400.0,0.0
96,11513900.0,0.0
97,14446900.0,0.0
98,11067300.0,0.0
99,10504500.0,0.0
100,10938000.0,0.0
101,10531100.0,0.0
102,10215700.0,0.0
103,13578700.0,0.0
104,10232200.0,0.0
105,15251400.0,0.0
106,10506700.0,0.0
107,10649600.0,0.0
108,10436000.0,0.0
109,12869500.0,0.0
110,12448000.0,0.0
111,11715600.0,0.0
112,12294000.0,0.0
113,10287100.0,0.0
114,12435600.0,0.0
115,11400900.0,0.0
116,10479700.0,0.0
117,10698000.0,0.0
118,10443500.0,0.0
119,10816600.0,0.0
120,15118600.0,0.0
121,13198800.0,0.0
122,12137500.0,0.0
123,17342200.0,0.0
124,11211600.0,0.0
125,12126000.0,0.0
126,12679200.0,0.0
127,14689600.0,0.0
128,11450700.0,0.0
129,12101000.0,0.0
130,11591000.0,0.0
131,16438800.0,0.0
132,10306700.0,0.0
133,10970300.0,0.0
134,17188900.0,0.0
135,12646700.0,0.0
136,10469200.0,0.0
137,13375900.0,0.0
138,18357300.0,0.0
139,11151100.0,0.0
140,11038900.0,0.0
141,12707000.0,0.0
142,12489200.0,0.0
143,14598400.0,0.0
144,13735900.0,0.0
145,12759200.0,0.0
146,13550200.0,0.0
147,11608300.0,0.0
148,12852400.0,0.0
149,12893500.0,0.0
150,12582700.0,0.0
151,11010300.0,0.0
152,10156900.0,0.0
153,10742200.0,0.0
154,10233900.0,0.0
155,12863000.0,0.0
156,11166200.0,0.0
157,10578800.0,0.0
158,12823000.0,0.0
159,10712000.0,0.0
160,12758400.0,0.0
161,10791200.0,0.0
162,12473900.0,0.0
163,10931300.0,0.0
164,16698200.0,0.0
165,10532400.0,0.0
166,10992200.0,0.0
167,12406500.0,0.0
168,10848400.0,0.0
169,12504600.0,0.0
170,17638100.0,0.0
171,10634800.0,0.0
172,12889100.0,0.0
173,10288300.0,0.0
174,10658800.0,0.0
175,11156600.0,0.0
176,12160500.0,0.0
177,11014700.0,0.0
178,10758600.0,0.0
179,13148900.0,0.0
180,16119200.0,0.0
181,11274000.0,0.0
182,13004700.0,0.0
183,12394100.0,0.0
184,11008500.0,0.0
185,15419200.0,0.0
186,14518800.0,0.0
187,13273800.0,0.0
188,14094100.0,0.0
189,11199800.0,0.0
190,12209900.0,0.0
191,13310600.0,0.0
192,12404400.0,0.0
193,10140500.0,0.0
194,11288900.0,0.0
195,14796100.0,0.0
196,10144200.0,0.0
197,15618500.0,0.0
198,10896600.0,0.0
199,16639200.0,0.0
200,13010900.0,0.0
201,10722000.0,0.0
202,13547400.0,0.0
203,11699500.0,0.0
204,10690000.0,0.0
205,17879800.0,0.0
206,12097900.0,0.0
207,10706200.0,0.0
208,11523200.0,0.0
209,15927500.0,0.0
210,12630300.0,0.0
211,10890500.0,0.0
212,15927700.0,0.0
213,10364800.0,0.0
214,12814800.0,0.0
215,12248100.0,0.0
216,11358400.0,0.0
217,14827300.0,0.0
218,13051200.0,0.0
219,12158700.0,0.0
220,16805700.0,0.0
221,10538900.0,0.0
222,13258200.0,0.0
223,12618900.0,0.0
224,17278900.0,0.0
225,12475200.0,0.0
226,11249400.0,0.0
227,12979600.0,0.0
228,11949400.0,0.0
229,10875000.0,0.0
230,10689600.0,0.0
231,12925700.0,0.0
232,11762500.0,0.0
233,13468000.0,0.0
234,14892400.0,0.0
235,11622100.0,0.0
236,16787300.0,0.0
237,13861100.0,0.0
238,11493800.0,0.0
239,10527100.0,0.0
240,17168200.0,0.0
241,12994300.0,0.0
242,13202000.0,0.0
243,12015000.0,0.0
244,16790800.0,0.0
245,11653100.0,0.0
246,14324200.0,0.0
247,12700200.0,0.0
248,13012600.0,0.0
249,10546600.0,0.0
250,14656200.0,0.0
251,10276200.0,0.0
252,17008400.0,0.0
253,11278300.0,0.0
254,10538400.0,0.0
255,14454500.0,0.0
256,12200100.0,0.0
257,11914000.0,0.0
258,18079700.0,0.0
259,18285700.0,0.0
260,12353700.0,0.0
261,10902300.0,0.0
262,12684700.0,0.0
263,11112400.0,0.0
264,10184700.0,0.0
265,13168800.0,0.0
266,10605800.0,0.0
267,10627700.0,0.0
268,14707500.0,0.0
269,10613800.0,0.0
270,11088500.0,0.0
271,10445600.0,0.0
272,10763800.0,0.0
273,10260000.0,0.0
274,13167000.0,0.0
275,10675500.0,0.0
276,10760000.0,0.0
277,14641700.0,0.0
278,13515800.0,0.0
279,12126500.0,0.0
280,12986300.0,0.0
281,12853700.0,0.0
282,14625000.0,0.0
283,10269500.0,0.0
284,17473200.0,0.0
285,10641700.0,0.0
286,12938900.0,0.0
287,10542700.0,0.0
288,10609000.0,0.0
289,10261400.0,0.0
290,13294700.0,0.0
291,10599600.0,0.0
292,11150100.0,0.0
293,14596700.0,0.0
294,10181800.0,0.0
295,10850700.0,0.0
296,11652100.0,0.0
297,12019600.0,0.0
298,13800200.0,0.0
299,13779100.0,0.0
300,10733000.0,0.0
301,16675800.0,0.0
302,10903200.0,0.0
303,10773100.0,0.0
304,11160600.0,0.0
305,10121100.0,0.0
306,10712900.0,0.0
307,12898200.0,0.0
308,10156200.0,0.0
309,11377300.0,0.0
310,17587800.0,0.0
311,11692200.0,0.0
312,11246200.0,0.0
313,10364500.0,0.0
314,10480600.0,0.0
315,13150100.0,0.0
316,11179700.0,0.0
317,12197000.0,0.0
318,10736900.0,0.0
319,15342200.0,0.0
320,10614700.0,0.0
321,10384400.0,0.0
322,12673400.0,0.0
323,12843000.0,0.0
324,14690900.0,0.0
325,13041300.0,0.0
326,10881200.0,0.0
327,17310600.0,0.0
328,12325400.0,0.0
329,10362100.0,0.0
330,10838500.0,0.0
331,16779200.0,0.0
332,16569000.0,0.0
333,11533200.0,0.0
334,16822600.0,0.0
335,10714900.0,0.0
336,10925600.0,0.0
337,10627600.0,0.0
338,13301300.0,0.0
339,12299500.0,0.0
340,12783400.0,0.0
341,12371600.0,0.0
342,10993700.0,0.0
343,15439000.0,0.0
344,12532400.0,0.0
345,12168400.0,0.0
346,11142200.0,0.0
347,14735900.0,0.0
348,10662700.0,0.0
349,13533300.0,0.0
350,10010800.0,0.0
351,17178800.0,0.0
352,10532700.0,0.0
353,10686300.0,0.0
354,10813700.0,0.0
355,14883500.0,0.0
356,12805300.0,0.0
357,10757900.0,0.0
358,10726300.0,0.0
359,14861000.0,0.0
360,10260700.0,0.0
361,11346500.0,0.0
362,12364000.0,0.0
363,10553000.0,0.0
364,14999800.0,0.0
365,14946200.0,0.0
366,10474500.0,0.0
367,13509800.0,0.0
368,12183800.0,0.0
369,10841300.0,0.0
370,10656500.0,0.0
371,10579400.0,0.0
372,21400500.0,0.0
373,14050400.0,0.0
374,13257800.0,0.0
375,13623400.0,0.0
376,11911100.0,0.0
377,11173000.0,0.0
378,11042500.0,0.0
379,10611700.0,0.0
