,datachange_notifications,period,queuesize,change_int
0,11511000,10.0,1.0,1.0
1,13053200,10.0,1.0,1.0
2,11952100,10.0,1.0,1.0
3,12342000,10.0,1.0,1.0
4,12544100,10.0,1.0,1.0
5,13516500,10.0,1.0,1.0
6,10991100,10.0,1.0,1.0
7,12426200,10.0,1.0,1.0
8,12624500,10.0,1.0,1.0
9,12535300,10.0,1.0,1.0
10,12437600,10.0,1.0,1.0
11,12442800,10.0,1.0,1.0
12,13238300,10.0,1.0,1.0
13,11988600,10.0,1.0,1.0
14,11675400,10.0,1.0,1.0
15,12572500,10.0,1.0,1.0
16,13117800,10.0,1.0,1.0
17,11909000,10.0,1.0,1.0
18,11464500,10.0,1.0,1.0
19,12646400,10.0,1.0,1.0
20,12978100,10.0,1.0,1.0
21,11537600,10.0,1.0,1.0
22,12075600,10.0,1.0,1.0
23,13297700,10.0,1.0,1.0
24,12060300,10.0,1.0,1.0
25,11571400,10.0,1.0,1.0
26,12626300,10.0,1.0,1.0
27,13083200,10.0,1.0,1.0
28,12214300,10.0,1.0,1.0
29,11294100,10.0,1.0,1.0
30,12125500,10.0,1.0,1.0
31,13300600,10.0,1.0,1.0
32,11613800,10.0,1.0,1.0
33,13334800,10.0,1.0,1.0
34,11200300,10.0,1.0,1.0
35,13053600,10.0,1.0,1.0
36,11714100,10.0,1.0,1.0
37,12292600,10.0,1.0,1.0
38,12232000,10.0,1.0,1.0
39,12686000,10.0,1.0,1.0
40,11437100,10.0,1.0,1.0
41,12350400,10.0,1.0,1.0
42,13215800,10.0,1.0,1.0
43,12599500,10.0,1.0,1.0
44,11029800,10.0,1.0,1.0
45,12246100,10.0,1.0,1.0
46,13238400,10.0,1.0,1.0
47,12078400,10.0,1.0,1.0
48,11455500,10.0,1.0,1.0
49,12188200,10.0,1.0,1.0
50,12819200,10.0,1.0,1.0
51,12421800,10.0,1.0,1.0
52,11494500,10.0,1.0,1.0
53,12565300,10.0,1.0,1.0
54,13736800,10.0,1.0,1.0
55,10473600,10.0,1.0,1.0
56,12396700,10.0,1.0,1.0
57,13012100,10.0,1.0,1.0
58,12656300,10.0,1.0,1.0
59,11049400,10.0,1.0,1.0
60,12311200,10.0,1.0,1.0
61,12910200,10.0,1.0,1.0
62,11842900,10.0,1.0,1.0
63,11926200,10.0,1.0,1.0
64,12596900,10.0,1.0,1.0
65,13600400,10.0,1.0,1.0
66,11087200,10.0,1.0,1.0
67,12010300,10.0,1.0,1.0
